title;Núcleo da Inflação nos EUA
subtit;Variação mensal do CPI (preços ao consumidor), em %
dfont;U.S. BLS
decimal;1
ylines;0,0.3,0.6,0.9
blk_dx;80
blk_dx_inb;74
;
;
;
data;begin
x;y
11/1998;174.8
12/1998;175.4
01/1999;175.6
02/1999;175.6
03/1999;175.7
04/1999;176.3
05/1999;176.5
06/1999;176.6
07/1999;177.1
08/1999;177.3
09/1999;177.8
10/1999;178.1
11/1999;178.4
12/1999;178.7
01/2000;179.3
02/2000;179.4
03/2000;180
04/2000;180.3
05/2000;180.7
06/2000;181.1
07/2000;181.5
08/2000;181.9
09/2000;182.3
10/2000;182.6
11/2000;183.1
12/2000;183.3
01/2001;183.9
02/2001;184.4
03/2001;184.7
04/2001;185.1
05/2001;185.3
06/2001;186
07/2001;186.4
08/2001;186.7
09/2001;187.1
10/2001;187.4
11/2001;188.1
12/2001;188.4
01/2002;188.7
02/2002;189.1
03/2002;189.2
04/2002;189.7
05/2002;190
06/2002;190.2
07/2002;190.5
08/2002;191.1
09/2002;191.3
10/2002;191.5
11/2002;191.9
12/2002;192.1
01/2003;192.4
02/2003;192.5
03/2003;192.5
04/2003;192.5
05/2003;192.9
06/2003;193
07/2003;193.4
08/2003;193.6
09/2003;193.7
10/2003;194
11/2003;194
12/2003;194.2
01/2004;194.6
02/2004;194.9
03/2004;195.5
04/2004;195.9
05/2004;196.2
06/2004;196.6
07/2004;196.8
08/2004;196.9
09/2004;197.5
10/2004;197.9
11/2004;198.3
12/2004;198.6
01/2005;199
02/2005;199.4
03/2005;200.1
04/2005;200.2
05/2005;200.5
06/2005;200.6
07/2005;200.9
08/2005;201.1
09/2005;201.3
10/2005;202
11/2005;202.5
12/2005;202.8
01/2006;203.2
02/2006;203.6
03/2006;204.3
04/2006;204.8
05/2006;205.4
06/2006;205.9
07/2006;206.3
08/2006;206.8
09/2006;207.2
10/2006;207.6
11/2006;207.8
12/2006;208.1
01/2007;208.6
02/2007;209.135
03/2007;209.418
04/2007;209.747
05/2007;210.058
06/2007;210.392
07/2007;210.773
08/2007;211.119
09/2007;211.554
10/2007;212.077
11/2007;212.66
12/2007;213.168
01/2008;213.771
02/2008;213.939
03/2008;214.42
04/2008;214.56
05/2008;214.936
06/2008;215.424
07/2008;215.965
08/2008;216.393
09/2008;216.713
10/2008;216.788
11/2008;216.947
12/2008;216.925
01/2009;217.346
02/2009;217.792
03/2009;218.253
04/2009;218.706
05/2009;218.904
06/2009;219.112
07/2009;219.263
08/2009;219.496
09/2009;219.92
10/2009;220.501
11/2009;220.666
12/2009;220.881
01/2010;220.633
02/2010;220.731
03/2010;220.783
04/2010;220.822
05/2010;220.962
06/2010;221.194
07/2010;221.363
08/2010;221.509
09/2010;221.711
10/2010;221.83
11/2010;222.149
12/2010;222.343
01/2011;222.803
02/2011;223.213
03/2011;223.454
04/2011;223.727
05/2011;224.175
06/2011;224.697
07/2011;225.218
08/2011;225.862
09/2011;226.118
10/2011;226.506
11/2011;226.899
12/2011;227.405
01/2012;227.877
02/2012;228.034
03/2012;228.478
04/2012;228.905
05/2012;229.224
06/2012;229.623
07/2012;229.97
08/2012;230.233
09/2012;230.659
10/2012;231.024
11/2012;231.33
12/2012;231.725
01/2013;232.229
02/2013;232.569
03/2013;232.794
04/2013;232.832
05/2013;232.996
06/2013;233.35
07/2013;233.88
08/2013;234.336
09/2013;234.7
10/2013;234.921
11/2013;235.359
12/2013;235.759
01/2014;235.961
02/2014;236.185
03/2014;236.625
04/2014;237.072
05/2014;237.529
06/2014;237.837
07/2014;238.195
08/2014;238.405
09/2014;238.786
10/2014;239.191
11/2014;239.458
12/2014;239.584
01/2015;239.811
02/2015;240.172
03/2015;240.755
04/2015;241.346
05/2015;241.688
06/2015;242.064
07/2015;242.565
08/2015;242.817
09/2015;243.316
10/2015;243.768
11/2015;244.241
12/2015;244.547
01/2016;244.955
02/2016;245.51
03/2016;245.913
04/2016;246.551
05/2016;247.137
06/2016;247.54
07/2016;247.829
08/2016;248.423
09/2016;248.842
10/2016;249.142
11/2016;249.481
12/2016;249.92
01/2017;250.467
02/2017;250.998
03/2017;250.944
04/2017;251.227
05/2017;251.43
06/2017;251.746
07/2017;251.985
08/2017;252.535
09/2017;252.812
10/2017;253.526
11/2017;253.816
12/2017;254.344
01/2018;255.072
02/2018;255.568
03/2018;256.128
04/2018;256.603
05/2018;257.151
06/2018;257.449
07/2018;257.848
08/2018;258.028
09/2018;258.505
10/2018;258.997
11/2018;259.455
12/2018;259.934
01/2019;260.534
02/2019;260.885
03/2019;261.382
04/2019;261.958
05/2019;262.321
06/2019;262.945
07/2019;263.491
08/2019;264.135
09/2019;264.588
10/2019;265.019
11/2019;265.461
12/2019;265.742
01/2020;266.418
02/2020;267.083
03/2020;266.916
04/2020;265.771
05/2020;265.606
06/2020;266.088
07/2020;267.552
08/2020;268.662
09/2020;269.152
10/2020;269.332
11/2020;269.816
12/2020;269.984
01/2021;270.114
02/2021;270.522
03/2021;271.347
04/2021;273.669
05/2021;275.715
06/2021;277.922
07/2021;278.794
08/2021;279.306
09/2021;280.017
10/2021;281.705
11/2021;283.179
12/2021;284.77
01/2022;286.431
02/2022;287.878
03/2022;288.811
04/2022;290.455
05/2022;292.289	
