title;IMAS
subtit;Índice de mercado dos títulos públicos atrelados a Selic
dfont;ANBIMA
vtype;perc
decimal;2
mult;1
divshow;1
group;1
yref;0
blk_dx;80
period;month
date_type;dd_mm_yyyy
;
;
;
;
;
data;begin
x;y
11/11/2005;1119.104779
14/11/2005;1119.912261
16/11/2005;1120.736725
17/11/2005;1121.600721
18/11/2005;1122.44508
21/11/2005;1123.275436
22/11/2005;1124.147644
23/11/2005;1124.961788
24/11/2005;1125.821931
25/11/2005;1126.651683
28/11/2005;1127.517509
29/11/2005;1128.356726
30/11/2005;1129.240172
01/12/2005;1130.252033
02/12/2005;1131.239745
05/12/2005;1132.108279
06/12/2005;1132.967119
07/12/2005;1133.851229
08/12/2005;1134.692317
09/12/2005;1135.514426
12/12/2005;1136.326959
13/12/2005;1137.165684
14/12/2005;1137.961478
15/12/2005;1138.744338
16/12/2005;1139.510622
19/12/2005;1140.265404
20/12/2005;1141.040056
21/12/2005;1141.833405
22/12/2005;1142.620121
23/12/2005;1143.384614
26/12/2005;1144.151153
27/12/2005;1144.916406
28/12/2005;1145.686848
29/12/2005;1146.4478
30/12/2005;1147.204245
02/01/2006;1147.988972
03/01/2006;1148.767425
04/01/2006;1149.543145
05/01/2006;1150.309296
06/01/2006;1151.081141
09/01/2006;1151.850417
10/01/2006;1152.617993
11/01/2006;1153.394864
12/01/2006;1154.179512
13/01/2006;1154.944163
16/01/2006;1155.733107
17/01/2006;1156.547718
18/01/2006;1157.402331
19/01/2006;1158.295479
20/01/2006;1159.081542
23/01/2006;1159.887903
24/01/2006;1160.676901
25/01/2006;1161.417556
26/01/2006;1162.196316
27/01/2006;1162.974824
30/01/2006;1163.748854
31/01/2006;1164.498813
01/02/2006;1165.252712
02/02/2006;1166.044054
03/02/2006;1166.827294
06/02/2006;1167.595956
07/02/2006;1168.402089
08/02/2006;1169.170408
09/02/2006;1169.94041
10/02/2006;1170.703417
13/02/2006;1171.473261
14/02/2006;1172.229925
15/02/2006;1173.012846
16/02/2006;1173.781589
17/02/2006;1174.540777
20/02/2006;1175.298225
21/02/2006;1176.068341
22/02/2006;1176.83102
23/02/2006;1177.584774
24/02/2006;1178.343113
01/03/2006;1179.087634
02/03/2006;1179.854908
03/03/2006;1180.619479
06/03/2006;1181.38646
07/03/2006;1182.144704
08/03/2006;1182.901336
09/03/2006;1183.654738
10/03/2006;1184.374232
13/03/2006;1185.098238
14/03/2006;1185.82359
15/03/2006;1186.547171
16/03/2006;1187.27007
17/03/2006;1187.993575
20/03/2006;1188.728025
21/03/2006;1189.45092
22/03/2006;1190.172045
23/03/2006;1190.894462
24/03/2006;1191.622463
27/03/2006;1192.344847
28/03/2006;1193.072126
29/03/2006;1193.799648
