date,dayup,nindex,valor
11/2014,27,554.769,0.9779830942
12/2014,27,558.213,0.6207989271
01/2015,29,562.482,0.7647618382
02/2015,26,564.004,0.2705864365
03/2015,30,569.536,0.9808441075
04/2015,29,576.175,1.1656857512
05/2015,28,578.516,0.4063001692
06/2015,29,582.401,0.6715458172
07/2015,30,586.426,0.6911045826
08/2015,28,588.042,0.2755675908
09/2015,29,593.606,0.9461909183
10/2015,29,604.832,1.8911533913
11/2015,27,614.051,1.5242249087
12/2015,29,617.044,0.4874187975
01/2016,28,624.060,1.1370339879
02/2016,26,632.114,1.2905810339
03/2016,30,635.349,0.5117747748
04/2016,28,637.434,0.3281660945
05/2016,30,642.651,0.8184376735
06/2016,29,653.496,1.6875411382
07/2016,28,654.641,0.1752114780
08/2016,30,655.602,0.1467980160
09/2016,29,656.894,0.1970707838
10/2016,28,657.927,0.1572552040
11/2016,29,657.752,-0.0265986956
12/2016,29,661.304,0.5400211630
01/2017,30,665.542,0.6408550379
02/2017,23,666.099,0.0836911870
03/2017,30,666.197,0.0147125277
04/2017,27,658.898,-1.0956218656
05/2017,30,652.758,-0.9318589524
06/2017,29,648.409,-0.6662499732
07/2017,28,643.766,-0.7160603878
08/2017,30,644.383,0.0958422781
09/2017,28,647.400,0.4681998128
10/2017,30,648.672,0.1964782206
11/2017,29,652.073,0.5243019585
12/2017,28,657.859,0.8873239653
01/2018,30,662.826,0.7550250130
02/2018,27,663.311,0.0731715412
03/2018,28,667.524,0.6351470125
04/2018,27,671.327,0.5697173435
05/2018,29,680.579,1.3781659311
06/2018,28,693.287,1.8672336349
07/2018,30,696.800,0.5067165546
08/2018,30,701.677,0.6999138921
09/2018,27,712.373,1.5243480975
10/2018,30,718.684,0.8859122959
11/2018,29,715.166,-0.4895058190
12/2018,28,707.441,-1.0801688000
01/2019,30,707.488,0.0066436636
02/2019,27,713.747,0.8846793161
03/2019,28,722.707,1.2553467825
04/2019,29,729.346,0.9186295414
05/2019,30,732.595,0.4454675833
06/2019,27,738.421,0.7952552229
07/2019,30,741.346,0.3961154951
08/2019,29,736.402,-0.6668950800
09/2019,27,736.362,-0.0054318158
10/2019,30,741.333,0.6750755742
11/2019,28,743.558,0.3001350270
12/2019,27,759.112,2.0918341273
01/2020,30,762.733,0.4770047108
02/2020,27,762.423,-0.0406433182
03/2020,30,771.908,1.2440600559
04/2020,29,778.101,0.8022976831
05/2020,28,780.280,0.2800407659
06/2020,29,792.429,1.5570051776
07/2020,30,810.083,2.2278336608
08/2020,28,832.313,2.7441632524
09/2020,29,868.442,4.3407948692
10/2020,29,896.505,3.2314190240
11/2020,27,925.887,3.2773938796
12/2020,29,934.758,0.9581082789
01/2021,28,958.844,2.5767096938
02/2021,25,983.063,2.5258540493
03/2021,30,1011.948,2.9382654011
04/2021,29,1027.211,1.5082790815
05/2021,28,1069.289,4.0963346382
06/2021,29,1075.733,0.6026434388
07/2021,29,1084.095,0.7773304342
08/2021,30,1091.290,0.6636872230
09/2021,29,1084.312,-0.6394267335
10/2021,28,1091.283,0.6428961406
11/2021,29,1091.483,0.0183270517
12/2021,29,1100.988,0
01/2022,28,1120.999,0
02/2022,25,1141.546,0
03/2022;30,1161.418,0
04/2022;28,1177.809,0
