date,dayup,nindex,perc
02/1989,9,0.00,16.78
03/1989,9,0.00,6.82
04/1989,9,0.00,8.33
05/1989,9,0.00,17.92
06/1989,9,0.00,28.65
07/1989,9,0.00,27.74
08/1989,9,0.00,33.71
09/1989,9,0.00,37.56
10/1989,9,0.00,39.77
11/1989,9,0.00,47.82
12/1989,9,0.00,51.50
01/1990,9,0.00,67.55
02/1990,9,0.00,75.73
03/1990,9,0.00,82.39
04/1990,9,0.00,15.52
05/1990,9,0.00,7.59
06/1990,9,0.00,11.75
07/1990,9,0.00,12.92
08/1990,9,0.00,12.88
09/1990,9,0.00,14.41
10/1990,9,0.00,14.36
11/1990,9,0.00,16.81
12/1990,9,0.00,18.44
01/1991,9,0.00,20.75
02/1991,9,0.00,20.72
03/1991,9,0.00,11.92
04/1991,9,0.00,4.99
05/1991,9,0.00,7.43
06/1991,9,0.00,11.19
07/1991,9,0.00,12.41
08/1991,9,0.00,15.63
09/1991,9,0.00,15.63
10/1991,9,0.00,20.23
11/1991,9,0.00,25.21
12/1991,9,0.00,23.71
01/1992,9,0.00,25.94
02/1992,9,0.00,24.32
03/1992,9,0.00,21.40
04/1992,9,0.00,19.93
05/1992,9,0.00,24.86
06/1992,9,0.00,20.21
07/1992,9,0.00,21.83
08/1992,9,0.00,22.14
09/1992,9,0.00,24.63
10/1992,9,0.00,25.24
11/1992,9,0.00,22.49
12/1992,9,0.00,25.24
01/1993,9,0.00,30.35
02/1993,9,0.00,24.98
03/1993,9,0.00,27.26
04/1993,9,0.00,27.75
05/1993,9,0.00,27.69
06/1993,9,0.00,30.07
07/1993,9,0.00,30.72
08/1993,9,0.00,32.96
09/1993,9,0.00,35.69
10/1993,9,0.00,33.92
11/1993,9,0.00,35.56
12/1993,9,100.00,36.84
01/1994,9,141.31,41.31
02/1994,9,198.22,40.27
03/1994,9,282.96,42.75
04/1994,9,403.73,42.68
05/1994,9,581.49,44.03
06/1994,9,857.29,47.43
07/1994,9,915.93,6.84
08/1994,9,932.97,1.86
09/1994,9,947.24,1.53
10/1994,9,972.06,2.62
11/1994,9,999.37,2.81
12/1994,9,1016.46,1.71
01/1995,9,1033.74,1.70
02/1995,9,1044.28,1.02
03/1995,9,1060.47,1.55
04/1995,9,1086.24,2.43
05/1995,9,1115.24,2.67
06/1995,9,1140.44,2.26
07/1995,9,1167.35,2.36
08/1995,9,1178.91,0.99
09/1995,9,1190.58,0.99
10/1995,9,1207.37,1.41
11/1995,9,1225.12,1.47
12/1995,9,1244.23,1.56
01/1996,9,1260.90,1.34
02/1996,9,1273.89,1.03
03/1996,9,1278.35,0.35
04/1996,9,1294.46,1.26
05/1996,9,1310.25,1.22
06/1996,9,1325.84,1.19
07/1996,9,1340.56,1.11
08/1996,9,1346.46,0.44
09/1996,9,1348.48,0.15
10/1996,9,1352.53,0.30
11/1996,9,1356.86,0.32
12/1996,9,1363.24,0.47
01/1997,9,1379.33,1.18
02/1997,9,1386.23,0.50
03/1997,9,1393.30,0.51
04/1997,9,1405.56,0.88
05/1997,9,1411.32,0.41
06/1997,9,1418.94,0.54
07/1997,9,1422.06,0.22
08/1997,9,1421.78,-0.02
09/1997,9,1422.63,0.06
10/1997,9,1425.90,0.23
11/1997,9,1428.32,0.17
12/1997,9,1434.46,0.43
01/1998,9,1444.64,0.71
02/1998,9,1451.29,0.46
03/1998,9,1456.22,0.34
04/1998,9,1459.71,0.24
05/1998,9,1467.01,0.50
06/1998,9,1467.30,0.02
07/1998,9,1465.54,-0.12
08/1998,9,1458.07,-0.51
09/1998,9,1454.86,-0.22
10/1998,9,1455.15,0.02
11/1998,9,1453.40,-0.12
12/1998,9,1458.20,0.33
01/1999,9,1468.41,0.70
02/1999,9,1483.83,1.05
03/1999,9,1500.15,1.10
04/1999,9,1508.55,0.56
05/1999,9,1513.08,0.30
06/1999,9,1515.95,0.19
07/1999,9,1532.47,1.09
08/1999,9,1541.05,0.56
09/1999,9,1545.83,0.31
10/1999,9,1564.23,1.19
11/1999,9,1579.09,0.95
12/1999,9,1588.56,0.60
01/2000,10,1598.41,0.62
02/2000,14,1600.49,0.13
03/2000,11,1604.01,0.22
04/2000,12,1610.75,0.42
05/2000,09,1610.91,0.01
06/2000,12,1614.62,0.23
07/2000,10,1640.62,1.61
08/2000,12,1662.11,1.31
09/2000,11,1665.93,0.23
10/2000,10,1668.26,0.14
11/2000,12,1673.60,0.32
12/2000,12,1683.47,0.59
01/2001,09,1693.07,0.57
02/2001,14,1700.86,0.46
03/2001,11,1707.32,0.38
04/2001,11,1717.22,0.58
05/2001,12,1724.26,0.41
06/2001,13,1733.23,0.52
07/2001,10,1756.28,1.33
08/2001,12,1768.57,0.70
09/2001,10,1773.52,0.28
10/2001,09,1788.24,0.83
11/2001,12,1800.94,0.71
12/2001,11,1812.65,0.65
01/2002,08,1822.08,0.52
02/2002,12,1828.64,0.36
03/2002,10,1839.61,0.60
